装甲悪鬼村正三世村正1/7完成品フィギュア（再販）[ウイング]《０８月予約》,商品コード,FIGURE-005493-S001,発売日,１６年０８月未定,原作名,装甲悪鬼村正,キャラ名,三世村正,造型師,絵里子[新居興業], ,<li class="selling_price_caption">商品ページQRコード,<li class="selling_price">,
figmaファイアーエムブレム覚醒ルキナ（再販）[グッドスマイルカンパニー]《０８月予約》,商品コード,FIGURE-009329-S001,発売日,１６年０８月未定,ブランド名,グッドスマイルカンパニー,シリーズ名,figmaシリーズ,figma(フィグマ),原作名,ファイアーエムブレム 覚醒,『ファイアーエムブレム』シリーズ,キャラ名,
フレームアームズ・ガール轟雷プラモデル（再販）[コトブキヤ]《０７月予約》,商品コード,FIGURE-009639-S002,発売日,１６年０７月未定,ブランド名,KOTOBUKIYA(コトブキヤ),シリーズ名,フレームアームズ,フレームアームズ・ガール,原作名,フレームアームズ,キャラ名,轟雷,
Fate/Apocrypha“赤”のセイバー-モードレッド-1/7完成品フィギュア（再販）[アクアマリン]《０９月予約》,商品コード,FIGURE-010569-S001,発売日,１６年０９月未定,ブランド名,アクアマリン,原作名,Fate/Apocrypha,『Fate』シリーズ,キャラ名,セイバー(モードレッド),造型師,ゆきうさ,
艦隊これくしょん-艦これ-雷-アニメver.-1/8完成品フィギュア（再販）[コトブキヤ]《０９月予約》,商品コード,FIGURE-010942-S001,発売日,１６年０９月未定,ブランド名,KOTOBUKIYA(コトブキヤ),原作名,艦隊これくしょん -艦これ-,キャラ名,雷,造型師,中邨拓智, ,
艦隊これくしょん-艦これ-電-アニメver.-1/8完成品フィギュア（再販）[コトブキヤ]《１０月予約》,商品コード,FIGURE-011068-S001,発売日,１６年１０月未定,ブランド名,KOTOBUKIYA(コトブキヤ),原作名,艦隊これくしょん -艦これ-,キャラ名,電,造型師,尊成, ,
1/35ガールズ＆パンツァーあんこうチームフィギュアセットお掃除バージョンです！未塗装キット（再販）[プラッツ]《０６月予約》,商品コード,FIGURE-013424-S001,発売日,１６年０６月未定,ブランド名,Platz(プラッツ),原作名,ガールズ＆パンツァー,『ガールズ＆パンツァー』シリーズ,キャラ名,西住みほ,秋山優花里,五十鈴華,
ウルトラ怪獣擬人化計画マグマ星人　完成品フィギュア[サプライズネクスト]《０６月予約※暫定》,商品コード,FIGURE-013799,発売日,１６年０６月未定,ブランド名,サプライズネクスト,原作名,ウルトラ怪獣擬人化計画,『ウルトラマン』シリーズ,キャラ名,マグマ星人,造型師,サプライズネクスト,
リアルアクションヒーローズNo.740RAHFate/EXTRACCCセイバー・ブライド[メディコム・トイ]【送料無料】《０７月予約》,備考,※他の商品と同梱発送になる場合は別途送料が発生いたします。※代引手数料等、一部の決済手数料はご負担いただきます。,商品コード,FIGURE-013898,発売日,１６年０７月未定,ブランド名,メディコム・トイ,シリーズ名,リアルアクションヒーローズ,原作名,Fate/EXTRA CCC,『Fate』シリーズ,
リアルアクションヒーローズNo.741RAHMGM劇場版魔法少女まどか☆マギカ百江なぎさ[メディコム・トイ]【送料無料】《０７月予約※暫定》,備考,※他の商品と同梱発送になる場合は別途送料が発生いたします。※代引手数料等、一部の決済手数料はご負担いただきます。,商品コード,FIGURE-013899,発売日,１６年０７月未定,ブランド名,メディコム・トイ,シリーズ名,リアルアクションヒーローズ,原作名,劇場版 魔法少女まどか☆マギカ [新編]叛逆の物語,魔法少女まどか☆マギカ,
蒼き鋼のアルペジオ-アルス・ノヴァ-霧くまsイオナ完成品フィギュア[ファット・カンパニー]《０６月予約》,商品コード,FIGURE-014135,発売日,１６年０６月未定,ブランド名,ファット・カンパニー,原作名,蒼き鋼のアルペジオ -アルス・ノヴァ-,『蒼き鋼のアルペジオ』シリーズ,キャラ名,イオナ(イ401),造型師,HIRO[ATELIER HIRO],
